wod1,wod2
"""DT""","Five rounds for time of:
155 pound Deadlift, 12 reps
155 pound Hang power clean, 9 reps
155 pound Push jerk, 6 reps"
Rest Day,
CrossFit Games Open 12.3,"Complete as many rounds and reps as possible in 18 minutes of:
15 Box jumps, 24"" box
115 pound Push press, 12 reps
9 Toes-to-bar"
"Five rounds for time of:
35 pound Dumbbell squat clean thruster, 7 reps
10 Pull-ups",Graham Holmberg 3:29. Post time to comments.
"""Klepto""","4 rounds for time of:
27 Box jumps, 24"" box
20 Burpees
11 Squat cleans, 145 pounds"
Rest Day,
"Complete as many rounds as possible in 10 minutes of:
185 pound Clean and jerk, 2 reps
15 foot Rope climb, 1 ascent",Post rounds completed to comments.
Back Squat 5-5-5-5-5 reps,"Lindsey Smith 205-225-245-255-265lbs.
Post loads to comments."
CrossFit Games Open 12.2,"Proceed through the sequence below completing as many reps as possible in 10 minutes of:
75 pound Snatch, 30 reps
135 pound Snatch, 30 reps
165 pound Snatch, 30 reps
210 pound Snatch, as many reps as possible"
Rest Day,
"For time:
25 Handstand push-ups
50 Toes-to-bar
Run 800 meters
75 pound Push press, 75 reps
150 Double-unders",Post time to comments.
Weighted pull-ups 1-1-1-1-1-1-1 reps,Post loads and body weight to comments.
"Three rounds for time of:
Row 300 meters
20 Wallball shots, 20 pound ball
10 Pull-ups",Courtney Modecki 8:26. Post time to comments.
Rest Day,
"""Zimmerman""","Complete as many rounds as possible in 25 minutes of:
11 Chest-to-bar pull-ups
2 Deadlifts, 315 pounds
10 Handstand push-ups"
"""Griff""","For time:
Run 800 meters
Run 400 meters backwards
Run 800 meters
Run 400 meters backwards"
CrossFit Games Open 12.1,"Complete as many reps as possible in 7 minutes of:
Burpees"
Rest Day,
"Clean, 1 rep
Bench press, 1 rep
Overhead squat, 1 rep","Clean is from the ground, power or squat."
"""Angie""","For time:
100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats"
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
Rest Day,
"Seven rounds for time of:
15 foot Rope climb, 1 ascent
10 Wallball shots, 20 pound ball
15 Kettlebell swings, 1.5 poods
20 Double-unders",Post time to comments.
"21-15-9 reps for time of:
115 pound Power clean
115 pound Thruster",Peter Egyed 4:45. Post time to comments.
"Eight rounds for time of:
10 Burpees
15 Jumping alternating lunges
20 Double-unders
25 yard Shuttle sprint (5 x 5 yards)
Rest 90 seconds","Brendan Clarke 17:44, Doug Armstrong 18:06. Post time to comments."
Rest Day,
Front squat 3-3-3-3-3 reps,Post loads to comments.
"For time:
Row 2K
50 Wall-ball shots, 20 pound ball
Row 1K
35 Wall-ball shots, 20 pound ball
Row 500 meters
20 Wall-ball shots, 20 pound ball","James Hobart 18:18, Dave Hamel 19:13. Post time to comments."
"""Erin""","Five rounds for time of:
40 pound Dumbbells split clean, 15 reps
21 Pull-ups"
Rest Day,
"Five rounds for time of:
Run 800 meters
9 Muscle-ups","Lucas Zepeda 24:39, Russ Greene 25:44. Post time to comments."
"Five rounds for time of:
Run 600 meters
95 pound Squat clean thruster, 15 reps",Post time to comments.
"Five rounds for time of:
Run 400 meters
185 pound Deadlift, 21 reps","Marc Simmons 15:58, Rachel Edwards 16:50 (135lbs). Post time to comments."
Rest Day,
"Complete as many rounds as possible in 15 minutes of:
135 pound Push press, 7 reps
135 pound Overhead squat, 10 reps
15 GHD Sit-ups","Laurie Galassi 7 rounds + 10 reps (95lbs), Jussi Mutikainen 6 rounds + 7 reps.
Post rounds completed to comments."
"""Rahoi""","Complete as many rounds as possible in 12 minutes of:
24 inch Box Jump, 12 reps
95 pound Thruster, 6 reps
6 Bar-facing burpees"
"Three rounds for time of:
275 pound Deadlift, 10 reps
50 Double-unders","Chuck Carswell 2:46, Andy Bayles 2:56, Leah Polaski 3:06 (198lbs).
Post time to comments."
Rest Day,
"For time:
30 Handstand push-ups
40 Pull-ups
50 Kettlebell swings, 1.5 poods
60 Sit-ups
70 Burpees",Post time to comments.
"""Tyler""","Five rounds for time of:
7 Muscle-ups
95 pound Sumo-deadlift high-pull, 21 reps"
Clean and Jerk 1-1-1-1-1-1-1 reps,Michael Lynch 290lbs. Post loads to comments.
Rest Day,
"""Desforges""","Five rounds for time of:
225 pound Deadlift, 12 reps
20 Pull-ups
135 pound Clean and jerk, 12 reps
20 Knees to elbows"
"For time:
75 pound Back squat, 50 reps
15 foot Rope climb, 5 ascents
75 pound Back squat, 40 reps
15 foot Rope climb, 4 ascents
75 pound Back squat, 30 reps
15 foot Rope climb, 3 ascents
75 pound Back squat, 20 reps
15 foot Rope climb, 2 ascents
75 pound Back squat, 10 reps
15 foot Rope climb, 1 ascent",Ken Cutrer 10:47. Post time to comments.
"8 rounds of:
Run 400 meters
Rest 90 seconds",Post total time to comments not including 8th rest.
Rest Day,
"Seven rounds for time of:
165 pound Front squat, 7 reps
7 Chest-to-bar pull-ups","Jason Khalipa 3:23, Neal Maddox 3:48. Post time to comments."
"Resting 60 seconds between sets:
Press 2-2-2-2-2-2-2-2-2-2",Post load(s) to comments.
"Seven rounds for time of:
225 pound Deadlift, 7 reps
7 L-pull-ups",Graham Holmberg 7:48. Post time to comments.
Rest Day,
"Three rounds for time of:
Row 1000 meters
45 pound Thruster, 50 reps
30 Pull-ups","Neal Maddox 21:04, Jason Khalipa 21:45, Kevin Montoya 21:51, John Zvejnieks 23:18.
Post time to comments."
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
Split snatch 1-1-1-1-1-1-1 reps,"Josh Everett 245lbs, Cody Burgener 245lbs.
Post loads to comments."
Rest Day,
"Five rounds for time of:
12 Wallball shots, 20 pound ball
12 Toes-to-bar","Josh Everett 3:51, Kim Malz 5:33 (16lb ball). Post time to comments."
Run 5K,Post time to comments.
"""Tabata This!""","Tabata Row
Rest 1 minute
Tabata Squat
Rest 1 minute
Tabata Pull-up
Rest 1 minute
Tabata Push-up
Rest 1 minute
Tabata Sit-up"
Rest Day,
Back Squat 3-3-3-3-3 reps,"Dave Lipson: 455-485-505-515-520lbs.
Rob Orlando: 405-425-445-465-475(fail) lbs.
Post loads to comments."
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders","Derek Mohamed 16:23, Kevin Montoya 17:26, Mel Ockerby 20:36.
Post time to comments."
"""Nate""","Complete as many rounds in twenty minutes as you can of:
2 Muscle-ups
4 Handstand Push-ups
8 2-Pood Kettlebell swings"
Rest Day,
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"Ten rounds for time of:
135 pound Deadlift, 15 reps
15 push-ups","Tommy Hackenbruck 11:01, Taylor Richards-Lindsay 13:34. Post time to comments."
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Rest Day,
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Overhead Squat 3-3-3-3-3 reps,"Tommy Hackenbruck 305lbs, Jonathan Pera 305lbs, Taylor Richards-Lindsay 165lbs.
Post loads to comments."
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"""Dae Han""","Three rounds for time of:
Run 800 meters with a 45 pound barbell
15 foot Rope climb, 3 ascents
135 pound Thruster, 12 reps"
"""Ricky""","Complete as many rounds as possible in 20 minutes of:
10 Pull-ups
75 pound dumbbell Deadlift, 5 reps
135 pound Push-press, 8 reps"
"""Hidalgo""","For time:
Run 2 miles
Rest 2 minutes
135 pound Squat clean, 20 reps
20 Box jump, 24"" box
20 Walking lunge steps with 45lb plate held overhead
20 Box jump, 24"" box
135 pound Squat clean, 20 reps
Rest 2 minutes
Run 2 miles"
Rest Day,
"Five rounds for time of:
135 pound Deadlift, 9 reps
135 pound Hang power snatch, 6 reps
135 pound Overhead squat, 3 reps","Jason Khalipa 3:01, Josh Everett 3:29, Nate Beard 4:03, Kristan Clever 3:50 (95lbs), Katie Hogan 5:04 (95lbs), Miranda Oldroyd 5:06 (95lbs).
Post time to comments."
"Complete as many rounds as possible in 20 minutes of:
18 Box jumps, 24"" box
15 Toes to bar
12 Pull-ups","Laurie Galassi 9 rounds + 9 jump, Lucas Zepeda 8 rounds + 12 T2B, Tyler Hinz 8 rounds + 6 jump.
Post rounds completed to comments."
Front squat 2-2-2-2-2-2 reps,"Dave Lipson, 485lbs, Jason Khalipa 365lbs, Pat Barber 315lbs.
Post load(s) to comments."
Rest Day,
"For time:
10 Muscle-ups
75 pound Push press, 100 reps
Row 1000 meters","Rich Froning 6:44, EZ Muhammad 8:09, Rob Fordham 8:03, Steven Kiefer 8:10. Post time to comments."
"For time:
Run 1000 meters
100 Push-ups
135 pound Snatch, 10 reps","Josh Everett 6:30, Kristan Clever 11:07 (95lbs). Post time to comments."
"21-15-9 reps for time of:
135 pound Clean
GHD sit-up","Greg Amundson 3:50, Scott Puckett 4:24. Post time to comments."
Rest Day,
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
"Three rounds for time of:
Row 1000 meters
Run 800 meters","Lucas Zepeda 20:55, Tyler Hinz 21:40, Dave Leys 21:44, Kevin Montoya 22:53.
Post time to comments."
"Five rounds for time of:
20 Pull-ups
30 Kettlebell swings, 1.5 pood
40 Double-unders","Kevin Montoya 13:29, Tim Burke 15:15, Rob Orlando 15:29, Jenny LaBaw 15:42.
Post time to comments."
Rest Day,
"Three rounds for time of:
7 Muscle-ups
35 pound Dumbbell thruster, 21 reps","Rob Orlando 4:57, Kristan Clever 6:58, Rebecca Voigt 8:34, Andrea Ager 8:41.
 Post time to comments."
Deadlift 5-5-5-5-5 reps,Post loads to comments.
"Three rounds for time of:
35 pound Dumbbell squat snatch, 15 reps, right arm
15 GHD sit-ups
35 pound Dumbbell squat snatch, 15 reps, left arm
15 Toes to bar","Kristan Clever 9:48, Rebecca Voigt 11:15, Lindsey Valenzuela 11:21.
Post time to comments."
Rest Day,
"Seven rounds for time of:
205 pound Clean, 3 reps
4 Ring handstand push-ups","Philip Kniep 4:29, Kristan Clever 5:05 (135lbs), James Hobart 6:05, Kevin Montoya 6:41.
Post time to comments."
"Resting 60 seconds between sets:
Bench press 2-2-2-2-2-2-2-2-2-2",Post load(s) to comments.
"Complete as many rounds as you can in 20 minutes of:
Run 400 meters
Deadlift 155 pounds, 21 reps","Josh Everett 8 rounds + 60 meters.
Post rounds and fractions of rounds completed to comments."
Rest Day,
"""Wood""","5 Rounds for time of:
Run 400 meters
10 Burpee box jumps, 24"" box
95 pound Sumo-deadlift high-pull, 10 reps
95 pound Thruster, 10 reps
Rest 1 minute"
Back Squat 3-3-3-3-3 reps,Post loads to comments.
"""Eva""","Five rounds for time of:
Run 800 meters
2 pood Kettlebell swing, 30 reps
30 Pull-ups"
Rest Day,
"Complete as many rounds as possible in 20 minutes of:
Row 250 meters
25 Push-ups",Post rounds completed to comments.
Clean and Jerk 1-1-1-1-1-1-1 reps,"Rob Orlando 310lbs, Vic Zachary 275lbs, Lindsey Smith 210 lbs, Maya Keenan-Gallagher 105lbs (age 11).
Post loads to comments."
"Complete as many rounds as possible in 15 minutes of:
15 foot Rope climb, 2 ascents
20 Wall ball shots, 20 pound ball
Run 200 meters",Post rounds completed to comments.
Rest Day,
"Five rounds for time of:
5 Hanging ring extensions (right arm + left arm = 1)
5 Forward rolls
5 Backward rolls
45 pound Sots press, 10 reps","Dusty Hyland 7:07, JC Nessa 7:08, Chris Lofland 7:58.
Post time to comments."
"225 pound Deadlift, 21 reps
Handstand walk 21 meters
225 pound Deadlift, 15 reps
Handstand walk 15 meters
225 pound Deadlift, 9 reps
Handstand walk 9 meters","Matt Chan 2:54, Dusty Hyland 3:04, Emmalee Moore 3:20.
Post time to comments."
Run 10K,Post time to comments.
Rest Day,
Hang power snatch 3-3-3-3-3 reps,Post loads to comments.
"""Santora""","Three rounds for reps of:
155 pound Squat cleans, 1 minute
20' Shuttle sprints (20' forward + 20' backwards = 1 rep), 1 minute
245 pound Deadlifts, 1 minute
Burpees, 1 minute
155 pound Jerks, 1 minute
Rest 1 minute"
"For time:
100 Burpee pull-ups","Ideally, the pull-up bar is one foot above your reach."
Rest Day,
"""Nutts""","For time:
10 Handstand push-ups
250 pound Deadlift, 15 reps
25 Box jumps, 30 inch box
50 Pull-ups
100 Wallball shots, 20 pounds, 10'
200 Double-unders
Run 400 meters with a 45lb plate"
"Three rounds, 15-12-and 9 reps, for time of:
135 pound barbell Thrusters
45 pound weighted Pull-ups","For weighted pull-ups, placing a 45 pound dumbbell between the legs above crossed ankles works great."
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
Rest Day,
Snatch balance 1-1-1-1-1-1-1,"Kristan Clever 190lbs, Rebecca Voigt 175lbs, Maya Keenan-Gallagher 65lbs (age 11).
Post loads to comments."
"Three rounds for time of:
Run 800 meters
Rest 2 minutes",Post time to comments.
Thruster 1-1-1-1-1-1-1 reps,"Josh Boultinghouse 305lbs, Stefan Niemczyk 275lbs, Owen Franks 260lbs, Maya Keenan-Gallagher 80lbs (age 11).
Post loads to comments."
Rest Day,
"21-15-9 reps for time of:
GHD Wall ball, 10 pound ball
Wallball ""2-fer-1s"", 20 pound ball","Pat Barber 5:23, Cary Hair 5:53, Cara Hipskind 6:06.
Post time to comments."
"For time:
Row 500 meters
20 inch Box jump, 50 reps
Push-ups, 50 reps
Sit-ups, 50 reps
Jumping pull-ups, 50 reps
50 Back extension
Dips, 50 reps
1.5 pood Turkish Get-up, 20 reps, alternating arms","Austin Malleolo 17:08, Kristan Clever 19:30, Danielle Edmundson 21:03 (1 pood TGU), Spencer Hendel 22:13.
Post time to comments."
"""Murph""","For time:
1 mile Run
100 Pull-ups
200 Push-ups
300 Squats
1 mile Run"
Rest Day,
"""Grace""
For time:
135 pound Clean and Jerk, 30 reps",OR
"""White""","Five rounds for time of:
15' Rope climb, 3 ascents
10 Toes to bar
21 Walking lunge steps with 45lb plate held overhead
Run 400 meters"
"Three rounds for time of:
30 Wallball shots, 20 pound ball (10.5 foot target)
75 pound Squat snatches, 30 reps (movement initiates with barbell below the knees)","Spencer Hendel 9:54, Austin Malleolo 11:46.
Post time to comments."
Rest Day,
"For time:
Row 300 meters
135 pound Push press, 20 reps
Row 300 meters
135 pound Push press, 15 reps
Row 300 meters
135 pound Push press, 10 reps
Row 300 meters
135 pound Push press, 5 reps","Austin Malleolo 6:34, Chad Wittman 6:35. Post time to comments."
"For time:
25 GHD sit-ups
1 Muscle-up
20 GHD sit-ups
2 Muscle-ups
15 GHD sit-ups
3 Muscle-ups
10 GHD sit-ups
4 Muscle-ups
5 GHD sit-ups
5 Muscle-ups","Austin Malleolo 4:25, Kristan Clever 4:41, Chris Zienkievicz 4:41, Matt Chan 4:57, James Hobart 5:20, Jeff Tincher 5:29, Kevin Montoya 5:31, Laurie Galassi 5:44, Danielle Edmundson 6:57, Rebecca Voigt 7:05.
Post time to comments."
"Seven rounds of:
35 Double-unders
1 Snatch",Make one snatch attempt per round.
Rest Day,
"Set a cone at 20 meters. Five rounds for time of:
185 pound barbell Overhead walk, 40 meters
30 Wallball shots, 20 pound ball
95 pound barbells Farmer carry, 40 meters",The barbells must be turned around the cone.
"Three rounds for time of:
95 pound Overhead squat, 15 reps
15 L Pull-ups
95 pound Split-jerk, 15 reps
15 Knees to elbows
95 pound Hang clean, 15 reps
15 Back extensions, with 25 pounds",Hold 25 pound plate or dumbbell to chest for back extensions.
"Clean, 1 rep
Bench press, 1 rep
Overhead squat, 1 rep","Clean is from the ground, power or squat."
Rest Day,
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
"""Tabata Fight Gone Bad""",Complete 40 intervals of 20 seconds of work followed by ten seconds of rest. Perform 8 consecutive intervals of each of the following exercises:
"Complete as many rounds as possible in 20 minutes of:
3 Wall climbs
10 Up-downs
5 Parallette pass-throughs (forward + back = 1)
10 Grasshoppers (right + left = 1)","For the wall climbs, toes and chest touch the ground to toes and chest touch the wall. For the up-downs, thighs touch the ground then stand up fully. For the pass-throughs, the hips open at the front and back. For the grasshoppers, the shin contacts the opposite forearm."
Rest Day,
"21-15 and 9 rep rounds of:
Left-arm Kettlebell snatch, 1.5 pood
Right-arm Kettlebell snatch, 1.5 pood
Pull-ups",Post time to comments.
"""Bradshaw""","10 rounds for time of:
3 Handstand push-ups
225 pound Deadlift, 6 reps
12 Pull-ups
24 Double-unders"
"Resting 60 seconds between sets:
Press 2-2-2-2-2-2-2-2-2-2",Post load(s) to comments.
Rest Day,
"Ten rounds, each for time of:
100 meter Sprint
Rest 90 seconds",Post times for each round to comments.
2010 Northwest Regional Event 1,"Three rounds for time of:
135 pound Overhead squat, 10 reps
50 Double-unders"
"Five rounds for time of:
Run 200 meters
7 Muscle-ups
Run 200 meters
7 Handstand push-ups
Run 200 meters
30 second L-sit hold
Run 200 meters
20 One legged squats",Noah Gabriel Landis 37:47. Post time to comments.
Rest Day,
"Five rounds for time of:
Run 200 meters
20 Pull-ups
Run 200 meters
20 Push-ups
Run 200 meters
20 Sit-ups
Run 200 meters
20 Squats","Peter Egyed 24:14, Kim Malz 33:15.
Post time to comments."
"Five rounds for time of:
155 pound Squat clean, 7 reps
14 Kettlebell swings, 1.5 pood","Jason Khalipa 4:44, Neal Maddox 4:51, Josh Everett 5:50, Peter Egyed 6:04, Karianne Dickson 6:19 (105lb clean, 35lb KB).
Post time to comments."
Deadlift 1-1-1-1-1-1-1 reps,"Rob Orlando 555lbs, Pat Barber 462lbs. Post loads to comments."
Rest Day,
"Complete as many rounds in 30 minutes as you can of:
Run 400 meters
10 L-Pull-ups
15 Back Extension with 25 pound plate
20 Sit-ups with 25 pound plate","Anthony Mayo 7 rounds + 400m run, Josh Everett 7 rounds + 200m run, Victoria Duncan 6 rounds + 200m run.
Post rounds and fractions of rounds completed to comments."
Front squat 2-2-2-2-2-2-2-2-2-2 reps,Danny Nichols 415lbs. Post load(s) to comments.
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
Rest Day,
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Tabata Double-under,"The Tabata interval is 20 seconds of work followed by 10 seconds of rest for 8 intervals.
Tabata score is the least number of reps performed in any of the eight intervals."
"Run 800 meters
15 Hang squat snatch
Run 800 meters
15 Squat snatch from mid-thigh
Run 800 meters
15 Squat snatch","Austin Malleolo 23:54 at 145/155/175lbs, Spencer Hendel 26:33 at 185/195/215lbs.
Post time and loads to comments."
Rest Day,
"Muscle snatch 1-1-1-1-1 reps
Power snatch 3-3-3-3-3 reps
Snatch 5-5-5-5-5 reps","Aja Barto 155/225/215lbs, Neal Maddox 195/215/210lbs, Jason Khalipa 185/195/190lbs, Jared Davis 145/165/165lbs.
Post loads to comments."
"Five rounds for time of:
6 Handstand push-ups
12 Chest-to-bar pull-ups
24 Weighted walking lunges, 35 pound dumbbells","Austin Malleolo 5:48, Josh Everett 6:22, Jesse Bazarnick 6:50, Kristan Clever 8:03 (35lb DBs), Laurie Galassi 8:39 (25lb DBs).
Post time to comments."
"""Carse""","21-18-15-12-9-6-3 reps for time of:
95 pound Squat clean
Double-under
185 pound Deadlift
24"" Box jump
Begin each round with a 50 meter Bear crawl."
Rest Day,
"""Joshie""","Complete three rounds for time of:
40 pound Dumbbell snatch, 21 reps, right arm
21 L Pull-ups
40 pound Dumbbell snatch, 21 reps, left arm
21 L Pull-ups"
Snatch 1-1-1-1-1-1-1 reps,"Michael Giardina 250lbs, Chuck Carswell 250lbs, Pat Barber 242lbs.
Post loads to comments."
CrossFit Games Event 10,"For time:
20 calorie Row
30 Wallball Shots, 20 pound ball
20 Toes to bar
30 Box jumps, 24"" box
20 Sumo-deadlit high-pull, 108 pound kettlebell
30 Burpees
20 Shoulder to overhead, 135 pounds
120 foot Sled pull, sled plus 165 pounds"
Rest Day,
"Complete as many rounds as possible in 15 minutes of:
10 Wall ball shots, 20 pound ball
10 Toes to bar
10 Box jumps, 24"" box","Adrienne Briggs 10 rounds + 6 wall ball (20"" box, 14lb ball), Maggie Dabe 8 rounds + 8 toes to bar (20"" box, 14lb ball), Laura Dziak 7 rounds + 7 wall ball (20"" box, 14lb ball).
Post rounds completed to comments."
Deadlift 3-3-3-3-3 reps,"Austin Malleolo 525lbs, Spencer Hendel 525lbs, Cole Dick (age 15) 425lbs, Candice Ruiz 310lbs, Alyssa Ross (age 17) 300lbs.
Post loads to comments."
"""Santiago""","Seven rounds for time of:
35 pound Dumbbell hang squat clean, 18 reps
18 Pull-ups
135 pound Power clean, 10 reps
10 Handstand push-ups"
Rest Day,
Run 5K,Post time to comments.
"For time:
5 muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 50 yards
5 muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 100 yards
5 Muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 150 yards
5 muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 200 yards",Post time to comments.
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
Rest Day,
Split Jerk 1-1-1-1-1-1-1 reps,"Max Mormont 400lbs, Spencer Hendel 330lbs, Josh Everett 325lbs, James Hobart 315lbs, Austin Malleolo 305lbs, Gillian Formaneck 154lbs.
Post loads to comments."
"""Fight Gone Bad!""","Three rounds of:
Wall-ball, 20 pound ball, 10 ft target (Reps)
Sumo deadlift high-pull, 75 pounds (Reps)
Box Jump, 20"" box (Reps)
Push-press, 75 pounds (Reps)
Row (Calories)"
"Five rounds for time of:
35 Double-unders
Run 200 meters","Jesse Bazarnick 4:30, Tyler Hinz 5:15, Amy Power 5:38, Candice Ruiz 6:04.
Post time to comments."
Rest Day,
"For time:
15 foot Rope climb, 5 ascents
145 pound Clean and jerk, 5 reps
15 foot Rope climb, 4 ascents
165 pound Clean and jerk, 4 reps
15 foot Rope climb, 3 ascents
185 pound Clean and jerk, 3 reps
15 foot Rope climb, 2 ascents
205 pound Clean and jerk, 2 reps
15 foot Rope climb, 1 ascent
225 pound Clean and jerk, 1 rep",Post time to comments.
"Overhead squat 1-1-1-1-1 reps
Front squat 1-1-1-1-1 reps
Back squat 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
"Four rounds for time of:
Run 400 meters
95 pound Thruster, 15 reps
15 Pull-ups","Austin Malleolo 10:40, Jeremy Kinnick 12:22, Janece Katona 15:26 (65lbs).
Post time to comments."
Rest Day,
"Tabata ""Bottom to Bottom"" Squat
Run 1 mile",Clock starts for run on rising from last squat.
"Resting 60 seconds between sets:
Deadlift 2-2-2-2-2-2-2-2-2-2",Post load(s) to comments.
"For time:
25 Walking lunge steps
20 Pull-ups
50 Box jumps, 20 inch box
20 Double-unders
25 Ring dips
20 Knees to elbows
30 Kettlebell swings, 2 pood
30 Sit-ups
20 Hang squat cleans, 35 pound dumbbells
25 Back extensions
30 Wall ball shots, 20 pound ball
3 Rope climb ascents",Post time to comments.
Rest Day,
Thruster 3-3-3-3-3-3-3,Post loads to comments.
"""Meadows""","For time:
20 Muscle-ups
25 Lowers from an inverted hang on the rings, slowly, with straight body and arms
30 Ring handstand push-ups
35 Ring rows
40 Ring push-ups"
Front squat 3-3-3-3-3 reps,"Connor Martin: 295-305-310(x2)-280-305lbs.
James Hobart: 245-275-285-295(x2)-300lbs.
Candice Ruiz: 155-165-175-185-195lbs.
Matt Ross (age 15): 115-145-165-200-205lbs.
Post loads to comments."
Rest Day,
"15-12-9-6-3 reps for time of:
135 pound Power clean
Bar-facing burpee","Jesse Bazarnick 4:42, Austin Malleolo 4:43, Matt Chan 4:57, Candice Ruiz 5:21 (95lbs), Chad Wittman 5:47.
Post time to comments."
Weighted pull-ups 3-3-3-3-3 reps,"Dave Lipson 105-115-135-145-155(x2)lbs at 205lb BW.
Post loads and body weight to comments."
"Eight rounds for max reps of:
75 pound Push press, 20 seconds
Rest 10 seconds
Jumping alternating lunge, 20 seconds
Rest 10 seconds","Jesse Bazarnick 156 PP + 158 Lunge, Lucas Zepeda 146 PP + 145 Lunge, Cara Hipskind 116 PP (55lbs) + 125 Lunge, Laurie Galassi 107 PP (55lbs) + 113 Lunge.
Post total reps for each exercise to comments."
Rest Day,
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
"Five rounds of:
3 Cleans
20 Burpees","Jerry Hill 7:41 at 205lbs, Meg Carlson-Hixson 9:40 at 105lbs.
Post time and load to comments."
"Complete as many rounds as possible in 10 minutes of:
15 Wall ball shots, 20 pound ball
15 foot Rope climb, 1 ascent","Pat Sherwood 10 rounds, Miranda Oldroyd 9 rounds + 13 wall ball (14lb ball).
Post rounds completed to comments."
Rest Day,
"""Nancy""","5 rounds for time of:
400 meter run
95 pound Overhead squat, 15 reps"
"Five rounds for time of:
185 pound Deadlift, 15 reps
15 Toes to bar","Jenn Jones 6:27 (135lb DL), Kim Malz 6:53 (135lb DL), James Hobart 9:14.
Post time to comments."
"Five rounds for time of:
40 Double-unders
30 Box jumps, 24 inch box
20 Kettlebell swings, 1.5 pood","Jesse Bazarnick 9:32, Austin Malleolo 9:52, Denise Thomas 10:50 (20"" box, 1 pood KB), Spencer Hendel 11:46, James Hobart 12:00.
Post time to comments."
Rest Day,
Shoulder Press 5-5-5-5-5 reps,"Dave Lipson: 165-185-192-197-202(x4)lbs.
Post loads to comments."
"Three rounds for time of:
12 Muscle-ups
75 Squats","Austin Malleolo 7:40, Kristan Clever 9:31, Pat Sherwood 10:43, Miranda Oldroyd 14:13, David Shanahan 14:13, Rebecca Voigt 16:50.
Post time to comments."
"""Isabel""","For time:
Snatch 135 pounds, 30 reps"
Rest Day,
"""Bradley""","10 rounds for time of:
Sprint 100 meters
10 Pull-ups
Sprint 100 meters
10 Burpees
Rest 30 seconds"
Run 5K,Post time to comments.
"With a continuously running clock, do one pull-up and one handstand push-up the first minute, two pull-ups and two handstand push-ups the second minute, three pull-ups and three handstand push-ups the third minute... continuing as long as you are able. When you cannot complete the required number of reps for either exercise, continue only with the other as long as you are able.",Use as many sets in any order each minute as needed.
Rest Day,
Behind the neck Jerk 1-1-1-1-1-1-1,Post loads to comments.
"""Gator""","Eight rounds for time of:
185 pound Front squat, 5 reps
26 Ring push-ups"
"Complete as many rounds as possible in 12 minutes of:
400 meter run
5 Deadlifts",Post load and time to comments.
Rest Day,
Overhead Squat 3-3-3-3-3 reps,Post loads to comments.
"Four rounds for time of:
Row 500 meters
Rest 3 minutes",Post times to comments.
CrossFit Games Masters Chipper,"For time:
10 Handstand push-ups
20 Wall ball shots, 20 pound ball to 10' target
30 Toes-to-bar
40 Power cleans, 135 pounds
50 Burpees
60 Sumo deadlift high-pull, 75 pounds"
Rest Day,
CrossFit Games Event 10,"For time:
20 calorie Row
30 Wallball Shots, 20 pound ball
20 Toes to bar
30 Box jumps, 24"" box
20 Sumo-deadlit high-pull, 108 pound kettlebell
30 Burpees
20 Shoulder to overhead, 135 pounds
120 foot Sled pull, sled plus 165 pounds"
